;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
403;NA;Helmchen;Fritjof;Dr.;Ord. Professor für Neurowissenschaften;MEF;Link;NA;Helmchen, Fritjof
404;NA;Hengartner;Michael;Dr., Rektor;Ord. Professor für Molekularbiologie;MNF;Link;NA;Hengartner, Michael
405;NA;Hennet;Thierry;Dr.;Ord. Professor für Humanbiologie;MEF;Link;NA;Hennet, Thierry
406;NA;Hens;Thorsten;Dr.;Ord. Professor für Finanzmarktökonomie;WWF;Link;NA;Hens, Thorsten
407;NA;Hilty;Reto M.;Dr. iur.;Ord. Professor für Immaterialgüterrecht;RWF;Link;NA;Hilty, Reto M.
408;NA;Hock;Christoph;Dr. med.;Ord. Professor für Biologische Psychiatrie;MEF;Link;NA;Hock, Christoph
409;NA;Hodler;Jürg;Dr. med.;Ord. Professor für Diagnostische und Interventionelle Radiologie;MEF;Link;NA;Hodler, Jürg
410;NA;Hoerstrup;Simon;Dr. med. PhD;Ord. Professor für Regenerative Medizin;MEF;Link;NA;Hoerstrup, Simon
411;NA;Hoffmann;Mathias;Dr.;Ord. Professor für International Trade and Finance;WWF;Link;NA;Hoffmann, Mathias
412;NA;Hothorn;Torsten;Dr.;Ord. Professor für Computationale Biostatistik;MEF;Link;NA;Hothorn, Torsten
413;NA;Hottiger;Michael O.;Dr. met. vet. et Dr. phil. II;Ord. Professor für Biochemie und Molekularbiologie;VSF;Link;NA;Hottiger, Michael O.
414;NA;Huber;Alexander;Dr. med.;Ord. Professor für Otorhinolaryngologie, Hals- und Gesichtschirurgie;MEF;Link;NA;Huber, Alexander
415;NA;Hundt;Marianne;Dr.;Ord. Professorin für Englische Sprachwissenschaft;PHF;Link;NA;Hundt, Marianne
416;NA;Hutter;Jürg;Dr. phil.;Ord. Professor für Physikalische Chemie;MNF;Link;NA;Hutter, Jürg
417;NA;Imthurn;Bruno;Dr. med.;Ord. Professor für Gynäkologische Endokrinologie und Reproduktionsmedizin;MEF;Link;NA;Imthurn, Bruno
418;NA;Isidori;Gino;Dr.;Ord. Professor für Theoretische Physik;MNF;Link;NA;Isidori, Gino
419;NA;Jäggi;Carola;Dr.;Ord. Professorin für Kunstgeschichte des Mittelalters und der Archäologie der frühchristlicheund hoch- und spätmittelalterlichen Zeit;PHF;Link;NA;Jäggi, Carola
420;NA;Jaimovich;Nir;Dr.;Ord. Professor für Economics;WWF;Link;NA;Jaimovich, Nir
421;NA;Jakob;Dominique;Dr.;Ord. Professor für Privatrecht;RWF;Link;NA;Jakob, Dominique
422;NA;Jäncke;Lutz;Dr.;Ord. Professor für Neuropsychologie;PHF;Link;NA;Jäncke, Lutz
423;NA;Jessberger;Sebastian;Dr.;Ord. Professor für Neurowissenschaften;MEF;Link;NA;Jessberger, Sebastian
